vac-01,2025-09-06T12:02:36.382109Z,0,9,55,False
vac-02,2025-09-06T12:02:36.382109Z,1,9,77,False
vac-03,2025-09-06T12:02:36.382109Z,0,1,96,False
vac-04,2025-09-06T12:02:36.382109Z,0,4,67,False
vac-05,2025-09-06T12:02:36.382109Z,10,0,57,False
vac-06,2025-09-06T12:02:36.382109Z,6,5,89,False
vac-07,2025-09-06T12:02:36.382109Z,5,11,61,False
vac-08,2025-09-06T12:02:36.382109Z,0,9,85,False
vac-09,2025-09-06T12:02:36.382109Z,7,4,99,False
vac-10,2025-09-06T12:02:36.382109Z,0,0,75,False
vac-01,2025-09-06T12:02:37.382109Z,1,9,54,False
vac-02,2025-09-06T12:02:37.382109Z,1,9,76,False
vac-03,2025-09-06T12:02:37.382109Z,0,1,94,True
vac-04,2025-09-06T12:02:37.382109Z,0,4,66,False
vac-05,2025-09-06T12:02:37.382109Z,10,-1,56,False
vac-06,2025-09-06T12:02:37.382109Z,5,4,88,False
vac-07,2025-09-06T12:02:37.382109Z,5,12,60,False
vac-08,2025-09-06T12:02:37.382109Z,0,8,83,False
vac-09,2025-09-06T12:02:37.382109Z,7,3,98,False
vac-10,2025-09-06T12:02:37.382109Z,0,1,73,False
vac-01,2025-09-06T12:02:38.382109Z,1,10,53,False
vac-02,2025-09-06T12:02:38.382109Z,0,10,74,False
vac-03,2025-09-06T12:02:38.382109Z,0,1,93,True
vac-04,2025-09-06T12:02:38.382109Z,1,4,64,False
vac-05,2025-09-06T12:02:38.382109Z,11,0,54,False
vac-06,2025-09-06T12:02:38.382109Z,5,5,86,False
vac-07,2025-09-06T12:02:38.382109Z,6,11,59,False
vac-08,2025-09-06T12:02:38.382109Z,1,8,82,False
vac-09,2025-09-06T12:02:38.382109Z,7,4,97,False
vac-10,2025-09-06T12:02:38.382109Z,1,0,71,False
vac-01,2025-09-06T12:02:39.382109Z,2,9,52,False
vac-02,2025-09-06T12:02:39.382109Z,0,10,72,False
vac-03,2025-09-06T12:02:39.382109Z,0,1,92,True
vac-04,2025-09-06T12:02:39.382109Z,2,3,63,False
vac-05,2025-09-06T12:02:39.382109Z,12,-1,53,False
vac-06,2025-09-06T12:02:39.382109Z,5,6,84,False
vac-07,2025-09-06T12:02:39.382109Z,7,11,57,False
vac-08,2025-09-06T12:02:39.382109Z,1,8,81,True
vac-09,2025-09-06T12:02:39.382109Z,7,4,95,True
vac-10,2025-09-06T12:02:39.382109Z,1,-1,70,False
vac-01,2025-09-06T12:02:40.382109Z,3,9,51,False
vac-02,2025-09-06T12:02:40.382109Z,1,11,71,False
vac-03,2025-09-06T12:02:40.382109Z,0,1,91,True
vac-04,2025-09-06T12:02:40.382109Z,2,2,61,False
vac-05,2025-09-06T12:02:40.382109Z,13,-2,51,False
vac-06,2025-09-06T12:02:40.382109Z,5,7,82,False
vac-07,2025-09-06T12:02:40.382109Z,7,11,55,True
vac-08,2025-09-06T12:02:40.382109Z,1,8,80,True
vac-09,2025-09-06T12:02:40.382109Z,7,4,94,True
vac-10,2025-09-06T12:02:40.382109Z,2,-2,68,False
vac-01,2025-09-06T12:02:41.382109Z,2,8,49,False
vac-02,2025-09-06T12:02:41.382109Z,1,12,69,False
vac-03,2025-09-06T12:02:41.382109Z,0,1,90,True
vac-04,2025-09-06T12:02:41.382109Z,1,3,60,False
vac-05,2025-09-06T12:02:41.382109Z,13,-2,49,False
vac-06,2025-09-06T12:02:41.382109Z,4,7,80,False
vac-07,2025-09-06T12:02:41.382109Z,7,11,54,True
vac-08,2025-09-06T12:02:41.382109Z,1,8,79,True
vac-09,2025-09-06T12:02:41.382109Z,7,4,92,True
vac-10,2025-09-06T12:02:41.382109Z,3,-1,66,False
vac-01,2025-09-06T12:02:42.382109Z,1,8,47,False
vac-02,2025-09-06T12:02:42.382109Z,0,13,68,False
vac-03,2025-09-06T12:02:42.382109Z,0,1,89,True
vac-04,2025-09-06T12:02:42.382109Z,1,4,59,False
vac-05,2025-09-06T12:02:42.382109Z,12,-2,48,False
vac-06,2025-09-06T12:02:42.382109Z,3,8,78,False
vac-07,2025-09-06T12:02:42.382109Z,7,11,52,True
vac-08,2025-09-06T12:02:42.382109Z,1,8,78,True
vac-09,2025-09-06T12:02:42.382109Z,7,4,90,False
vac-10,2025-09-06T12:02:42.382109Z,2,-1,65,False
vac-01,2025-09-06T12:02:43.382109Z,0,7,46,False
vac-02,2025-09-06T12:02:43.382109Z,1,13,66,False
vac-03,2025-09-06T12:02:43.382109Z,0,1,87,True
vac-04,2025-09-06T12:02:43.382109Z,1,4,57,True
vac-05,2025-09-06T12:02:43.382109Z,12,-2,47,False
vac-06,2025-09-06T12:02:43.382109Z,2,8,77,False
vac-07,2025-09-06T12:02:43.382109Z,7,11,50,True
vac-08,2025-09-06T12:02:43.382109Z,1,8,76,True
vac-09,2025-09-06T12:02:43.382109Z,8,4,88,False
vac-10,2025-09-06T12:02:43.382109Z,2,-2,64,False
vac-01,2025-09-06T12:02:44.382109Z,1,8,45,False
vac-02,2025-09-06T12:02:44.382109Z,1,13,65,False
vac-03,2025-09-06T12:02:44.382109Z,0,0,85,False
vac-04,2025-09-06T12:02:44.382109Z,1,4,56,True
vac-05,2025-09-06T12:02:44.382109Z,12,-2,46,False
vac-06,2025-09-06T12:02:44.382109Z,1,7,75,False
vac-07,2025-09-06T12:02:44.382109Z,6,11,48,False
vac-08,2025-09-06T12:02:44.382109Z,1,8,74,True
vac-09,2025-09-06T12:02:44.382109Z,9,3,87,False
vac-10,2025-09-06T12:02:44.382109Z,3,-1,63,False
vac-01,2025-09-06T12:02:45.382109Z,2,9,44,False
vac-02,2025-09-06T12:02:45.382109Z,1,14,63,False
vac-03,2025-09-06T12:02:45.382109Z,1,1,83,False
vac-04,2025-09-06T12:02:45.382109Z,1,4,55,True
vac-05,2025-09-06T12:02:45.382109Z,13,-3,45,False
vac-06,2025-09-06T12:02:45.382109Z,0,7,73,False
vac-07,2025-09-06T12:02:45.382109Z,7,11,47,False
vac-08,2025-09-06T12:02:45.382109Z,0,9,73,False
vac-09,2025-09-06T12:02:45.382109Z,10,3,86,False
vac-10,2025-09-06T12:02:45.382109Z,2,-2,62,False
vac-01,2025-09-06T12:02:46.382109Z,2,8,43,False
vac-02,2025-09-06T12:02:46.382109Z,1,13,62,False
vac-03,2025-09-06T12:02:46.382109Z,0,1,81,False
vac-04,2025-09-06T12:02:46.382109Z,1,4,54,True
vac-05,2025-09-06T12:02:46.382109Z,12,-4,44,False
vac-06,2025-09-06T12:02:46.382109Z,0,8,72,False
vac-07,2025-09-06T12:02:46.382109Z,7,11,46,False
vac-08,2025-09-06T12:02:46.382109Z,-1,10,72,False
vac-09,2025-09-06T12:02:46.382109Z,10,3,84,True
vac-10,2025-09-06T12:02:46.382109Z,3,-2,60,False
vac-01,2025-09-06T12:02:47.382109Z,1,7,41,False
vac-02,2025-09-06T12:02:47.382109Z,0,12,61,False
vac-03,2025-09-06T12:02:47.382109Z,1,1,79,False
